Date,Source,Search term,URL,Title,Brief,Article
2024-02-06,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/indland/ECE16742251/kunstig-intelligens-skraemmer-men-ved-optikeren-foelger-den-kunstige-hjerne-med/,Kunstig intelligens skræmmer: Men ved optikeren følger den kunstige hjerne med,"over en parkeringsbøde, så udviser danskere over en bred kam skepsis over for brug af kunstig intelligens","Kunstig intelligens breder sig i hverdagen. Men en undersøgelse viser, at danskerne er bekymrede, hvis firmaer og offentlige institutioner bruger den kunstige hjerne til at hjælpe med at afgøre en klage over en parkeringsbøde, tildeling af plads i vuggestuen eller diagnosticering af sygdom.
I 1983 hackede en dreng det amerikanske militærs computere, der havde kontrollen over atomvåbnene. Computerne overtog magten, og verden var på randen af atomkrig.
Året efter gik en robot amok, da den forsøgte at finde og dræbe en vigtig kvinde.
Begge scenarier er heldigvis fra film. Den første ”Wargames”, den næste ”Terminator”.
Fælles for filmene var, at det var teknologien, der tog beslutningerne på vegne af mennesket.
40 år senere begynder kunstig intelligens med stor hast at kravle ind i vores samfund, og nu er der noget, der tyder på, at danskerne er lige så skeptiske over for teknologien som for 40 år siden."
2023-08-22,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/international/usa/ECE15761059/kunstig-intelligens-saetter-amerikansk-militaer-i-et-farligt-dilemma/,Kunstig intelligens i våben: Denne udtalelse har skabt massiv debat i USA,"Derfor er brugen af kunstig intelligens i våben ikke et fremtidsscenarie, vi ser ind i, siger Benjamin","Elon Musk vil sætte udviklingen af kunstig intelligens på pause. Men USA’s forsvarsministerium, Pentagon, har en helt anden idé.
WASHINGTON
Det var under en teknologikonference hos nonprofitorganisationen AFCEA i Baltimore i starten af maj, at det amerikanske forsvarsministerium Pentagons informationschef, John Sherman, for nylig kom med sin temmelig iøjnefaldende udtalelse.
"
2023-12-31,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/indland/ECE16720355/saadan-ville-det-se-ud-hvis-dronning-margrethe-brugte-kunstig-intelligens-til-at-skrive-sin-nytaarstale/,"Sådan ville det se ud, hvis dronning Margrethe brugte kunstig intelligens til at skrive sin nytårstale","Men også et andet tema trænger sig på, og det er de to ord ”kunstig intelligens”.","Kunstig intelligens er et varmt bud på et muligt emne til årets nytårstale.
Det er en tradition i mange hjem at gætte på, hvad dronning Margrethe siger i sin nytårstale. For de spillelystne kan man sætte penge på specifikke ord, og hvis man er både heldig og dygtig kan man vinde penge."
2023-09-03,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/erhverv/ECE16381276/dansk-teknologi-goer-landmaend-klogere-paa-biodiversitet-paa-marken/,Kunstig intelligens i landbruget: Dansk teknologi gør landmænd klogere på biodiversitet på marken,"Kunstig intelligens udvikler sig hastigt og kan bruges til at systematisere indkøb, skrive nyhedsartikler","Kunstig intelligens er på alles læber. Inden for landbruget hjælper teknologien allerede til på flere måder, og en dansk virksomhed har specialiseret sig i at indsamle data om insekter på baggrund af kunstig intelligens. Ifølge en ekspert er det generelle potentiale for ny teknologi i landbruget stort.
Kunstig intelligens udvikler sig hastigt og kan bruges til at systematisere indkøb, skrive nyhedsartikler og redigere billeder.
Men kunstig intelligens kan også have en lys fremtid inden for landbruget, hvor det kan tælle afgrøder, fjerne ukrudt og præcisere skadedyrsbekæmpelse. Det mener Nicolai Fog Hansen, der er sektionsleder"
2023-07-17,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/indland/ECE16294481/sundhed-er-en-yndet-scene-for-kunstig-intelligens-hvad-kan-vi-forvente/,Kunstig intelligens i sundhedsvæsenet: Det kan vi forvente af fremtiden,Kunstig intelligens er for alvor ved at finde vej i sundhedsvæsenet.,"Der er tilgængelige data og politisk velvilje. Brug af kunstig intelligens i sundhedsvæsenet bliver mere udbredt.
Kunstig intelligens er for alvor ved at finde vej i sundhedsvæsenet. Der er søsat flere projekter, der skal udforske, hvordan den kan hjælpe både lægefagligt og patienter i en stadig mere teknologisk tid.
Der er politisk velvilje, og både Danske Regioner og Danske Patienter ser stort potentiale ved brug af kunstig intelligens. Ifølge Birthe Dinesen, professor i digital sundhed ved Aalborg Universitet, vil brugen af kunstig intelligens fylde endnu mere i sundhedsvæsenet.
Men hvor langt er vi? Kunstig intelligens er i forvejen så udbredt, at man på alle hospitaler i en eller anden udstrækning har gang i et eller flere projekter, fortæller professoren."
2023-10-02,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/rejser/ECE16466038/nu-bliver-rejseplanlaegningen-nemmere-med-kunstig-intelligens/,Nu bliver rejseplanlægningen nemmere med kunstig intelligens,Det er blevet nemmere at planlægge sin næste rejse fra start til slut med kunstig intelligens.,"Kunstig intelligens vinder frem overalt, og holdningerne er blandede. Ikke alle hylder de teknologiske fremskridt, men rejsen kan nu planlægges med et enkelt værktøj fra Google.
Det er blevet nemmere at planlægge sin næste rejse fra start til slut med kunstig intelligens.
Googles Bard AI-service har for nyligt lanceret ”Bard Extensions”, en række nye features, der bl.a. gør livet lettere for rejsende, både når de bestiller og efter ankomst til destinationen.
Googles nye feature er en chatbot"
2023-07-19,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/international/ECE16298751/mi6chef-advarer-om-fjenders-farlige-brug-af-kunstig-intelligens/,MI6-chef advarer om fjenders farlige brug af kunstig intelligens,Storbritanniens fjender vil udvikle kunstig intelligens på ”uforsvarlige” og ”farlige” måder.,"Kinas brug af kunstig intelligens kan blive farlig, siger MI6-chef, som selv bruger teknologien mod Rusland.
Storbritanniens fjender vil udvikle kunstig intelligens på ”uforsvarlige” og ”farlige” måder.
Sådan lyder advarslen fra Richard Moore, chef for den britiske efterretningstjeneste MI6, i en sjælden offentlig tale i Prag onsdag.
Her understreger han, hvordan kunstig intelligens både kan være et stort aktiv og en fare.
- Der er absolut ingen tvivl om, at vores fjender er klar til at udvikle kunstig intelligens på uforsvarlige og farlige måder, siger han og henviser blandt andet til retorikken vedrørende atomvåben.
- Og det bekymrer os, fortsætter Moore.
- Derfor bliver det en vigtig del af vores arbejde i fremtiden at forsøge at opdage, afdække og forstyrre folk, som ønsker at udvikle kunstig intelligens på farlige måder.
I sin tale forklarer Moore blandt andet, at Storbritannien på nogle måder, når det handler om kunstig intelligens, grundlæggende er bagud i forhold til Kina, som har ”enorme datasæt”.
Han kalder Kina ”det vigtigste enkeltstående strategiske fokus” for MI6.
- De kinesiske myndigheder går ikke forfærdeligt meget op i spørgsmål om privatliv eller datasikkerhed, siger han.
Men Storbritannien bruger også kunstig intelligens selv, forklarer han.
Det gælder blandt andet, når det handler om at forstyrre våbenleverancer til Rusland.
- Mine ansatte bruger nu kunstig intelligens til at supplere, men ikke udskifte deres egen dømmekraft om, hvordan folk handler i forskellige situationer, siger Moore.
- De kombinerer deres færdigheder inden for kunstig intelligens og data til at lokalisere og forstyrre strømmen af våben til Rusland til brug mod Ukraine.
- I fremtiden - når kunstig intelligens begynder at overhale dele af den menneskelige kognition - er det muligt, at digitale redskaber bliver i stand til at forstå eller rettere forudsige menneskelig adfærd bedre end mennesker.
Offentlige udtalelser om den britiske efterretningstjenestes gøren og laden er en ret ny udvikling.
Regeringen begyndte først at offentliggøre MI6-chefens navn i 1992. Richard Moore har kun holdt én anden offentlig tale som chef. Han blev MI6-chef i 2020.
Posten har i øvrigt været inspiration for figuren M i James Bond-filmene og -romanerne.
/ritzau/"
2023-08-14,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/politik/ECE16352324/minister-kunstig-intelligens-skal-loese-personalemangel-paa-hospitaler/,Minister: Kunstig intelligens skal løse personalemangel på hospitaler,Kunstig intelligens skal fremover være med til at afhjælpe manglen på sundhedspersonale.,"Succes med kunstig intelligens på hospital i Køge skal bredes ud til hele landet, siger Løhde til Berlingske.
Kunstig intelligens skal fremover være med til at afhjælpe manglen på sundhedspersonale.
Derfor vil regeringen afsætte en pulje på 500 millioner kroner til området. Pengene skal dog også gå til mere pleje i eget hjem.
Det siger indenrigs- og sundhedsminister Sophie Løhde (V) til Berlingske.
- Hvis vi ikke ser teknologi som en af de vigtigste veje til at robustgøre vores sundhedsvæsen, så får patienterne en dårligere behandling, og medarbejderne kommer til at drukne i patienter, siger hun til avisen.
Meldingen kommer, efter læger på Sjællands Universitetshospital i Køge har haft stor succes med brugen af kunstig intelligens i forbindelse med behandling af patienter med kræft i mave-tarm-området.
Her er en supercomputer kommet med konkrete forslag til behandlingsforløb ud fra tusindvis af datapunkter, skriver Berlingske.
Det har resulteret i, at kun en ud af 112 patienter er blevet genindlagt. Normalt ville det ifølge Berlingske være 10-12.
Også indlæggelsestiden for særligt skrøbelige patienter er blevet halveret, skriver avisen.
Supercomputeren rummer anonymiserede sundhedsdata fra 76.000 danske patienter, der de sidste ti år er blevet opereret for tyk- eller endetarmskræft.
Den data kombineres med oplysninger fra de nye patienter. Det kan være alder, køn, almen sundhedstilstand, eller andre sygdomme eller risikofaktorer.
Computeren kommer ud fra de oplysninger med behandlingsforslag og hejser advarselsflag, hvis der er forhold, der skal tages ekstra højde for.
Sundhedsområdet i Danmark har de seneste år været presset af mangel på personale. Og meget tyder på, at den mangel vil tage til.
I 2030 vil der være behov for 40.000 flere sundhedspersoner, mens der i 2045 vil være brug for 100.000 flere. Det forudsætter, at der skal løses de samme opgaver som i dag.
Det viser en arbejdskraftanalyse fra Lægeforeningen.
Årsagen til det stigende behov for hænder er især, at der kommer flere ældre.
/ritzau/"
2023-07-05,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/tech/ECE16213963/kunstig-intelligens-udloeser-nyt-vaabenkaploeb-paa-de-finansielle-markeder/,Når maskiner styrer pengene: Kunstig intelligens udløser våbenkapløb på aktiemarkedet,Kunstig intelligens er de seneste år blevet meget bedre til at finde mønstrene i de finansielle markeder,"Brugen af kunstig intelligens breder sig i de finansielle markeder. Det presser avancerede investorer til at gå endnu længere ud ad tangenten.
Kunstig intelligens er de seneste år blevet meget bedre til at finde mønstrene i de finansielle markeder. Dermed kan modellerne give nogle investorer en kæmpe fordel og udløse et nyt våbenkapløb på teknologi i markederne.
Men i sidste ende kommer teknologien ikke til helt at fjerne risikoen ved at investere, vurderer forskere."
2023-12-04,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/erhverv/ECE16635140/det-er-en-misforstaaelse-at-kunstig-intelligens-vil-udkonkurrere-alle-men-din-konkurrent-som-bruger-det-kommer-til-at-udkonkurrere-dig/,"»Det er en misforståelse, at kunstig intelligens vil udkonkurrere alle. Men din konkurrent, som bruger det, kommer til at udkonkurrere dig«","Det påpeger Anders Kofod-Petersen, der er professor i anvendt kunstig intelligens og en af landets fremmeste","Kunstig intelligens er ved at blive et afgørende konkurrenceparameter i flere brancher, og det kan blive dyrt ikke at stå på toget i tide, påpeger AI-ekspert.
Hos logistikvirksomheden Danx Carousel Group er man godt i gang med at skifte mavefornemmelse og øjemål ud med computerkraft og algoritmer.
Virksomheden er begyndt at bruge et stykke teknologi, der ved hjælp af billeder og en veltrænet kunstig intelligens hjælper med at vurdere, hvor fyldte trailerne er. Indtil videre er teknologien"
